"order_id","lab_number","fribble_set","complexity_order","reverse_order_block","reverse_order_list","time_pair_group","stimulus_type_order","familiar_role","location_order","time_order_index","file_name"
561,36,"set_2","order_2","base_block","base",3,"fribble_first",0,"loc_order_1",1,"order_561.csv"
562,36,"set_2","order_2","base_block","base",3,"fractal_first",0,"loc_order_1",1,"order_562.csv"
563,36,"set_2","order_2","base_block","base",3,"fribble_first",1,"loc_order_1",1,"order_563.csv"
564,36,"set_2","order_2","base_block","base",3,"fractal_first",1,"loc_order_1",1,"order_564.csv"
565,36,"set_2","order_2","base_block","base",3,"fribble_first",0,"loc_order_2",1,"order_565.csv"
566,36,"set_2","order_2","base_block","base",3,"fractal_first",0,"loc_order_2",1,"order_566.csv"
567,36,"set_2","order_2","base_block","base",3,"fribble_first",1,"loc_order_2",1,"order_567.csv"
568,36,"set_2","order_2","base_block","base",3,"fractal_first",1,"loc_order_2",1,"order_568.csv"
569,36,"set_2","order_2","base_block","base",3,"fribble_first",0,"loc_order_1",2,"order_569.csv"
570,36,"set_2","order_2","base_block","base",3,"fractal_first",0,"loc_order_1",2,"order_570.csv"
571,36,"set_2","order_2","base_block","base",3,"fribble_first",1,"loc_order_1",2,"order_571.csv"
572,36,"set_2","order_2","base_block","base",3,"fractal_first",1,"loc_order_1",2,"order_572.csv"
573,36,"set_2","order_2","base_block","base",3,"fribble_first",0,"loc_order_2",2,"order_573.csv"
574,36,"set_2","order_2","base_block","base",3,"fractal_first",0,"loc_order_2",2,"order_574.csv"
575,36,"set_2","order_2","base_block","base",3,"fribble_first",1,"loc_order_2",2,"order_575.csv"
576,36,"set_2","order_2","base_block","base",3,"fractal_first",1,"loc_order_2",2,"order_576.csv"
