"lab_folder","n_files","files_ok","stimulus_balance_ok","familiar_role_balance_ok","location_balance_ok","time_balance_ok","within_file_trial_balance_ok","item_role_balance_ok","overall_ok","notes"
"lab_01",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_02",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_03",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_04",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_05",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_06",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_07",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_08",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_09",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_10",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_11",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_12",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_13",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_14",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_15",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_16",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_17",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_18",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_19",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_20",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_21",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_22",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_23",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_24",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_25",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_26",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_27",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_28",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_29",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_30",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_31",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_32",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_33",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_34",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_35",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_36",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_37",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_38",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_39",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_40",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_41",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_42",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_43",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_44",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_45",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_46",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_47",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
"lab_48",16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"OK"
